id,category,severity,rule,why,anti_pattern_keywords,replace_with,source
inter-banned,typography,banned,Do not use Inter as the primary typeface,Default-tier SaaS font; reads as 'YC startup template'. Median of training distribution.,font-inter\b|font-family:\s*[a-z\"' ]*\bInter\b|fontFamily:\s*[\"']Inter[\"'],Geist (technical) | Outfit | Cabinet Grotesk | Satoshi | Pangram Pangram | Klim | ABC Dinamo | Velvetyne foundry,taste-skill+taste-calibration
geist-default-banned,typography,caution,Geist sans by itself reads as Vercel-default; pair with Geist Mono only for technical UIs,Same designer as Inter same neutral character. Becomes a tell when used alone on premium briefs.,font-geist\b|font-family:\s*[a-z\"' ]*\bGeist\b|fontFamily:\s*[\"']Geist[\"'],Geist + Geist Mono pair (technical only) | Pangram Pangram | Cabinet Grotesk | Klim | Future Fonts,taste-calibration
serif-on-dashboard-banned,typography,banned,Never use Serif fonts on clean Dashboards,Serif is for editorial/creative direction only; serif-on-dashboard is a tell.,serif|serif-font|font-family:.*Serif,Sans-serif (Geist Mono / Outfit / Satoshi) for dashboards. Serif only on editorial routes.,taste-skill
oversized-h1-banned,typography,caution,H1 should not scream. Control hierarchy with weight + color not just massive scale.,'text-9xl + bold' is the AI-default reach. Reduces sophistication.,text-9xl|text-8xl|text-7xl with font-bold,Smaller H1 (text-5xl/6xl) with deliberate weight + color contrast,taste-skill
pure-black-banned,color,banned,Never use #000000,Pure black reads as default/unconsidered. Off-black has more depth.,#000|#000000|black|rgb\(0,\s*0,\s*0\),Off-Black | Zinc-950 | Charcoal | Eigengrau (#16161D),taste-skill
dark-navy-gold-banned,color,banned,Banned palette: dark navy bg + warm gold accent,Universal SaaS pattern (Linear Resend Vercel Stripe). Zero memorable choice.,navy|#0d1117|#0f172a|#1e293b with gold|amber|#fbbf24|#d4af37,Force a different palette per project (Adam-named example: 'sage + clay' 'oxidised steel + paper' 'lichen + bone'),taste-calibration
github-default-bg-banned,color,banned,Banned: #0d1117 exact GitHub default background,Exact GitHub default tells the viewer 'this builder didn't choose a palette'.,#0d1117|0d1117|#0f0f0f|#0a0a0a,Any considered dark surface that isn't GitHub-default: Zinc-950 #09090b warm-black #1a1614 etc.,taste-calibration
near-black-4shade-banned,color,banned,Banned: 4-shade-near-black surface palette (#0f → #18 → #1f → #27),Universal SaaS surface stack. Defines no brand.,oklch\(.*0\.[0-2].*\)|#0f|#18|#1f|#27 stacked surfaces,Asymmetric palette: 1-2 deep tones + 1 vivid mid-tone + 1 paper/cream. Avoid monotone-near-black stacks.,taste-calibration
oversaturated-accents-banned,color,caution,Do not use oversaturated accents,Pure HSL saturation reads as Bootstrap-template. Desaturate to elegant tonal range.,#ff[0-9a-f]{4}|#0[0-9a-f]{4}ff|saturate-200|saturation:1\.0,Desaturated accents (OKLCH chroma 0.10-0.18) that read elegant against neutrals,taste-skill
default-dark-mode-banned,mode,banned-by-default,Do not default to dark mode,Most products are better light-first. Dark-first is an aesthetic reach used to fake sophistication.,dark mode by default|defaultTheme.*dark|dark-mode default,Choose the mode the brand wants. Light-first is the default for service/B2B; dark-first only when the brand needs it.,design-quality
